Date,Time,Temperature,Coordinates
2021-03-26,14:00,11.3,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,15:00,10.1,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,16:00,10.0,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,17:00,8.3,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,18:00,5.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,19:00,5.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,20:00,5.0,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,21:00,5.5,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,22:00,5.4,"{'x': 15.990068, 'y': 57.997072}"
2021-03-26,23:00,5.0,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,00:00,3.5,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,01:00,2.5,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,02:00,2.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,03:00,2.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,04:00,1.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,05:00,2.3,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,06:00,3.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,07:00,4.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,08:00,4.6,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,09:00,5.4,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,10:00,6.1,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,11:00,6.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,12:00,7.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,13:00,8.7,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,14:00,9.8,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,15:00,9.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,16:00,8.8,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,17:00,6.3,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,18:00,3.1,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,19:00,2.0,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,20:00,2.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,21:00,2.5,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,22:00,2.4,"{'x': 15.990068, 'y': 57.997072}"
2021-03-27,23:00,2.3,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,00:00,2.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,01:00,2.0,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,02:00,2.0,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,03:00,2.1,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,04:00,2.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,05:00,2.3,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,06:00,2.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,07:00,4.1,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,08:00,5.3,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,09:00,6.6,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,10:00,7.6,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,11:00,7.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,12:00,7.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,15:00,5.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,18:00,3.9,"{'x': 15.990068, 'y': 57.997072}"
2021-03-28,21:00,4.4,"{'x': 15.990068, 'y': 57.997072}"
2021-03-29,00:00,4.8,"{'x': 15.990068, 'y': 57.997072}"
2021-03-29,06:00,3.8,"{'x': 15.990068, 'y': 57.997072}"
2021-03-29,12:00,8.3,"{'x': 15.990068, 'y': 57.997072}"
2021-03-29,18:00,8.0,"{'x': 15.990068, 'y': 57.997072}"
2021-03-30,00:00,8.4,"{'x': 15.990068, 'y': 57.997072}"
2021-03-30,06:00,9.2,"{'x': 15.990068, 'y': 57.997072}"
2021-03-30,12:00,12.7,"{'x': 15.990068, 'y': 57.997072}"
2021-03-30,18:00,10.4,"{'x': 15.990068, 'y': 57.997072}"
2021-03-31,00:00,8.7,"{'x': 15.990068, 'y': 57.997072}"
2021-03-31,06:00,8.1,"{'x': 15.990068, 'y': 57.997072}"
2021-03-31,12:00,10.6,"{'x': 15.990068, 'y': 57.997072}"
2021-03-31,18:00,8.3,"{'x': 15.990068, 'y': 57.997072}"
2021-04-01,00:00,1.8,"{'x': 15.990068, 'y': 57.997072}"
2021-04-01,06:00,4.5,"{'x': 15.990068, 'y': 57.997072}"
2021-04-01,12:00,7.2,"{'x': 15.990068, 'y': 57.997072}"
2021-04-02,00:00,0.7,"{'x': 15.990068, 'y': 57.997072}"
2021-04-02,12:00,4.4,"{'x': 15.990068, 'y': 57.997072}"
2021-04-03,00:00,0.0,"{'x': 15.990068, 'y': 57.997072}"
2021-04-03,12:00,5.5,"{'x': 15.990068, 'y': 57.997072}"
2021-04-04,00:00,-0.0,"{'x': 15.990068, 'y': 57.997072}"
2021-04-04,12:00,6.9,"{'x': 15.990068, 'y': 57.997072}"
2021-04-05,00:00,1.0,"{'x': 15.990068, 'y': 57.997072}"
